ClientAccountID,CurrencyPrimary,AssetClass,SubCategory,Symbol
U8251256,EUR,STK,COMMON,BNP
U8251256,HKD,STK,COMMON,1109
U8251256,HKD,STK,COMMON,1288
U8251256,HKD,STK,COMMON,2318
U8251256,HKD,STK,ETF,2828
U8251256,HKD,STK,COMMON,2899
U8251256,HKD,STK,COMMON,688
U8251256,HKD,STK,COMMON,700
U8251256,HKD,STK,COMMON,857
U8251256,HKD,STK,COMMON,883
U8251256,HKD,STK,COMMON,941
U8251256,HKD,STK,COMMON,9988
U8251256,JPY,STK,COMMON,6178.T
U8251256,JPY,STK,COMMON,6501.T
U8251256,SGD,STK,COMMON,Z74
U8251256,USD,STK,ETF,COWZ
U8251256,USD,STK,COMMON,CTAS
U8251256,USD,STK,ETF,CWB
U8251256,USD,STK,ETF,DBA
U8251256,USD,STK,ETF,DXJ
U8251256,USD,STK,ETF,EPI
U8251256,USD,STK,ETF,EWI
U8251256,USD,STK,ETF,FPE
U8251256,USD,STK,ETF,GLD
U8251256,USD,STK,COMMON,HES
U8251256,USD,STK,ETF,HYD
U8251256,USD,STK,ETF,IAUM
U8251256,USD,STK,ETF,IBIT
U8251256,USD,STK,ETF,ISTB
U8251256,USD,STK,ETF,IWM
U8251256,USD,STK,COMMON,LLY
U8251256,USD,STK,ETF,LQD
U8251256,USD,STK,COMMON,MCD
U8251256,USD,STK,COMMON,MSFT
U8251256,USD,STK,COMMON,NVDA
U8251256,USD,STK,ETF,QQQ
U8251256,USD,STK,ETF,RSP
U8251256,USD,STK,ETF,SHYD
U8251256,USD,STK,ETF,SMH
U8251256,USD,STK,ETF,STIP
U8251256,USD,STK,ETF,TLT
U8251256,USD,STK,ADR,TSM
U8251256,USD,STK,ETF,TUR
U8251256,USD,STK,ETF,USHY
U8251256,USD,STK,ETF,VCIT
U8251256,USD,STK,ETF,XHB
U8251256,USD,STK,ETF,XLE
U8251256,USD,STK,ETF,XLF
U8251256,USD,STK,ETF,XLK
U8251256,USD,STK,ETF,XLV
U8251256,USD,OPT,C,MSFT 30AUG24 440 C
U8251256,USD,OPT,C,TSM 30AUG24 195 C
U8251256,USD,FUT,,6JU4
U8251256,HKD,OPT,P,1288 29AUG24 3.5 P
U8251256,HKD,OPT,C,2318 29AUG24 37 C
U8251256,HKD,OPT,P,700 29AUG24 350 P
U8251256,HKD,OPT,P,700 29AUG24 360 P
U8251256,HKD,OPT,C,700 29AUG24 370 C
U8251256,HKD,OPT,P,700 29AUG24 370 P
U8251256,HKD,OPT,C,700 29AUG24 410 C
U8251256,HKD,OPT,P,941 29AUG24 70 P
U8251256,HKD,OPT,P,941 29AUG24 75 P
U8251256,HKD,OPT,C,9988 29AUG24 80 C
U8251256,HKD,OPT,P,9988 29AUG24 80 P
U8251256,HKD,OPT,C,9988 29AUG24 85 C
U8251256,HKD,OPT,C,9988 29AUG24 90 C
U8251256,USD,OPT,P,AAPL 23AUG24 222.5 P
U8251256,USD,OPT,P,CB 20SEP24 250 P
U8251256,USD,OPT,P,CB 20SEP24 265 P
U8251256,USD,OPT,P,GLD 21AUG24 227 P
U8251256,USD,OPT,P,GLD 21AUG24 230 P
U8251256,USD,OPT,C,GLD 21AUG24 234 C
U8251256,USD,OPT,C,GLD 21AUG24 235 C
U8251256,USD,OPT,P,GLD 28AUG24 232 P
U8251256,USD,OPT,P,LLY 23AUG24 940 P
U8251256,USD,OPT,P,MCD 23AUG24 280 P
U8251256,USD,OPT,P,MCD 23AUG24 287.5 P
U8251256,USD,OPT,P,MSFT 23AUG24 415 P
U8251256,USD,OPT,P,PDD 23AUG24 140 P
U8251256,USD,OPT,P,SE 23AUG24 75 P
U8251256,USD,OPT,P,SE 23AUG24 76 P
U8251256,USD,OPT,P,SE 23AUG24 77 P
U8251256,USD,OPT,P,SE 23AUG24 79 P
U8251256,USD,OPT,P,TSM 23AUG24 167.5 P
U8251256,USD,OPT,P,TSM 23AUG24 170 P
U8251256,USD,OPT,C,TSM 23AUG24 177.5 C
U8251256,USD,OPT,C,TSM 23AUG24 180 C
U8251256,USD,OPT,C,TSM 23AUG24 182.5 C
U8251256,USD,OPT,P,TSM 30AUG24 150 P
U8251256,USD,OPT,C,XHB 23AUG24 115 C
U8251256,USD,OPT,C,XLE 23AUG24 89 C
U8251256,USD,OPT,C,XLE 23AUG24 89.5 C
U8251256,USD,OPT,C,XLE 23AUG24 90 C
U8251256,USD,OPT,C,XLE 23AUG24 90.5 C
U8251256,USD,OPT,P,XLK 23AUG24 217.5 P
U8251256,USD,OPT,C,XLK 23AUG24 230 C
U8251256,USD,OPT,C,XLK 23AUG24 232.5 C
