Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"February 7, 2025"
Statement,Data,WhenGenerated,"2025-02-09, 20:53:38 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Golden Horse Global Macro Discretionary Fund
Account Information,Data,Account,U8251256
Account Information,Data,Master Name,Golden Horse Fund Management Pte Ltd
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,2799159.670216496,3160046.945588176,-362667.389828585,2797379.555759592,-1780.114456905
Net Asset Value,Data,Stock,63548764,63568878,0,63568878,20114
Net Asset Value,Data,Options,32620.3,37067.9,-3840,33227.9,607.6
Net Asset Value,Data,Interest Accruals,14275.4056753,21181.0306098,-6650.4476056,14530.5830042,255.1773289
Net Asset Value,Data,Dividend Accruals,1008.87,1016.97,-8.1,1008.87,0
Net Asset Value,Data,Total,66395828.24589179,66788190.84619798,-373165.937434185,66415024.908763796,19196.662872009
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.028912453%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,66395828.24589179
Change in NAV,Data,Mark-to-Market,18941.48554309
Change in NAV,Data,Change in Interest Accruals,251.9815438
Change in NAV,Data,Other FX Translations,3.1957851
Change in NAV,Data,Ending Value,66415024.908763796
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,NVDA,1000,1000,128.6800,129.8400,1160,0,0,0,1160,
Mark-to-Market Performance Summary,Data,Stocks,SGOV,631800,631800,100.3800,100.4100,18954,0,0,0,18954,
Mark-to-Market Performance Summary,Data,Total,,,,,,20114,0,0,0,20114,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 07FEB25 119 P,-10,-10,0.0850,--,85,0,0,0,85,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 07FEB25 120 P,-5,-5,0.0950,--,47.5,0,0,0,47.5,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 07FEB25 126 C,-10,-10,3.2602,3.8400,-579.8,0,0,0,-579.8,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVDA 16JAN26 110 C,10,10,36.0130,37.0679,1054.9,0,0,0,1054.9,
Mark-to-Market Performance Summary,Data,Total,,,,,,607.6,0,0,0,607.6,
Mark-to-Market Performance Summary,Data,Forex,CAD,0.000004515,0.000004515,0.69895,0.69967,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Forex,CHF,-0.000029287,-0.000029287,1.1050,1.0989,0.00000018,0,0,0,0.00000018,
Mark-to-Market Performance Summary,Data,Forex,EUR,12.882357913,12.882357913,1.0383,1.0327,-0.0721412,0,0,0,-0.0721412,
Mark-to-Market Performance Summary,Data,Forex,HKD,23884932.52479098,23884932.52479098,0.12843,0.12836,-1671.94527674,0,0,0,-1671.94527674,
Mark-to-Market Performance Summary,Data,Forex,JPY,8325646.1343547,8325646.1343547,0.0066022,0.0066042,16.65129227,0,0,0,16.65129227,
Mark-to-Market Performance Summary,Data,Forex,MXN,-0.00382842,-0.00382842,0.048876,0.048611,0.00000102,0,0,0,0.00000102,
Mark-to-Market Performance Summary,Data,Forex,SEK,0.000335185,0.000335185,0.091756,0.091319,-0.00000015,0,0,0,-0.00000015,
Mark-to-Market Performance Summary,Data,Forex,SGD,53084.39671682,53084.39671682,0.74041,0.73806,-124.74833229,0,0,0,-124.74833229,
Mark-to-Market Performance Summary,Data,Forex,USD,-362667.388590398,-362667.388590398,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,-1780.11445691,0,0,0,-1780.11445691,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,18941.48554309,0,0,0,18941.48554309,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,NVDA,0,0,0,0,0,0,4695.72353,0,0,0,4695.72353,4695.72353,
Realized & Unrealized Performance Summary,Data,Stocks,SGOV,0,0,0,0,0,0,40959.898104,0,0,0,40959.898104,40959.898104,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,45655.621634,0,0,0,45655.621634,45655.621634,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVDA 07FEB25 119 P,0,0,0,0,0,0,2027.063166,0,0,0,2027.063166,2027.063166,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVDA 07FEB25 120 P,0,0,0,0,0,0,853.836031,0,0,0,853.836031,853.836031,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVDA 07FEB25 126 C,0,0,0,0,0,0,0,-2772.910146,0,0,-2772.910146,-2772.910146,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVDA 16JAN26 110 C,0,0,0,0,0,0,6210.9475,0,0,0,6210.9475,6210.9475,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,9091.846697,-2772.910146,0,0,6318.936551,6318.936551,
Realized & Unrealized Performance Summary,Data,Forex,EUR,0,0,0,0,0,0,0,-0.160829,0,0,-0.160829,-0.160829,
Realized & Unrealized Performance Summary,Data,Forex,HKD,0,0,0,0,0,0,0,-955.397297918,0,0,-955.397297918,-955.397297918,
Realized & Unrealized Performance Summary,Data,Forex,JPY,0,0,0,0,0,0,1101.482984856,0,0,0,1101.482984856,1101.482984856,
Realized & Unrealized Performance Summary,Data,Forex,SGD,0,0,0,0,0,0,0,-299.395997711,0,0,-299.395997711,-299.395997711,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,1101.482984856,-1254.954146629,0,0,-153.471161773,-153.471161773,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,0,0,0,0,0,55848.951315856,-4027.864292629,0,0,51821.087023227,51821.087023227,
Month & Year to Date Performance Summary,Header,Asset Category,Symbol,Description,Mark-to-Market MTD,Mark-to-Market YTD,Realized S/T MTD,Realized S/T YTD,Realized L/T MTD,Realized L/T YTD
Month & Year to Date Performance Summary,Data,Stocks,1109,CHINA RESOURCES LAND LTD,0,25307.2613807,0,-148806.63878154,0,0
Month & Year to Date Performance Summary,Data,Stocks,1211,BYD CO LTD-H,0,23471.3471514,0,-7430.44679365,0,0
Month & Year to Date Performance Summary,Data,Stocks,1288,AGRICULTURAL BANK OF CHINA-H,0,673.71625804,0,310174.10160029,0,0
Month & Year to Date Performance Summary,Data,Stocks,1810,XIAOMI CORP-CLASS B,0,44936.85151396,0,114509.49597138,0,0
Month & Year to Date Performance Summary,Data,Stocks,2020,ANTA SPORTS PRODUCTS LTD,0,2523.09854408,0,-1480.03069392,0,0
Month & Year to Date Performance Summary,Data,Stocks,2318,PING AN INSURANCE GROUP CO-H,0,-31688.6879515,0,82621.16706532,0,0
Month & Year to Date Performance Summary,Data,Stocks,2359,WUXI APPTEC CO LTD-H,0,-934.84627906,0,-1036.83321642,0,0
Month & Year to Date Performance Summary,Data,Stocks,2828,HANGSENG CHINA ENT INDEX-HKD,0,82795.8861845,0,627004.13481224,0,0
Month & Year to Date Performance Summary,Data,Stocks,3067,ISHARES HANG SENG TECH E-HKD,0,36901.950222,0,132066.68304972,0,0
Month & Year to Date Performance Summary,Data,Stocks,3690,MEITUAN-CLASS B,0,86.61814,0,-19608.2529,0,0
Month & Year to Date Performance Summary,Data,Stocks,6178.T,JAPAN POST HOLDINGS CO LTD,0,6905.25610209,0,10845.26172611,0,0
Month & Year to Date Performance Summary,Data,Stocks,6181,LAOPU GOLD CO L-H,0,23655.91609296,0,23649.0353754,0,0
Month & Year to Date Performance Summary,Data,Stocks,6501.T,HITACHI LTD,0,253.66980566,0,42473.78785616,0,0
Month & Year to Date Performance Summary,Data,Stocks,688,CHINA OVERSEAS LAND & INVEST,0,-4936.76230848,0,-92502.63938852,0,0
Month & Year to Date Performance Summary,Data,Stocks,700,TENCENT HOLDINGS LTD,0,-119390.48590956,0,-7865.53591554,0,82417.3006081
Month & Year to Date Performance Summary,Data,Stocks,883,CNOOC LTD,0,-31669.31983408,0,-197459.31001914,0,0
Month & Year to Date Performance Summary,Data,Stocks,941,CHINA MOBILE LTD,0,-16380.46444806,0,26325.61277835,0,0
Month & Year to Date Performance Summary,Data,Stocks,9618,JD.COM INC-CLASS A,0,34736.96383345,0,3217.52005095,0,0
Month & Year to Date Performance Summary,Data,Stocks,992,LENOVO GROUP LTD,0,-3824.710814,0,-14728.90203,0,0
Month & Year to Date Performance Summary,Data,Stocks,9961,TRIP.COM GROUP LTD,0,17289.837894,0,121944.10683404,0,0
Month & Year to Date Performance Summary,Data,Stocks,9988,ALIBABA GROUP HOLDING LTD,0,19490.20702101,0,-3601.83634078,0,4210.10227461
Month & Year to Date Performance Summary,Data,Stocks,9CI,CAPITALAND INVESTMENT LTD/SI,0,-68427.8383076,0,-181740.63671331,0,0
Month & Year to Date Performance Summary,Data,Stocks,AAPL,APPLE INC,0,-61558.80088917,0,-37146.05103817,0,0
Month & Year to Date Performance Summary,Data,Stocks,AMZN,AMAZON.COM INC,0,19934.69802978,0,-2504.25711422,0,0
Month & Year to Date Performance Summary,Data,Stocks,ANF,ABERCROMBIE & FITCH CO-CL A,0,-12956.74299828,0,-10137.34642828,0,0
Month & Year to Date Performance Summary,Data,Stocks,ASML,ASML HOLDING NV-NY REG SHS,0,8893.90414298,0,-2122.98114202,0,0
Month & Year to Date Performance Summary,Data,Stocks,BILI,BILIBILI INC-SPONSORED ADR,0,-3047.98060539,0,-4539.30785639,0,0
Month & Year to Date Performance Summary,Data,Stocks,BRK B,BERKSHIRE HATHAWAY INC-CL B,0,9157.62176291,0,-38371.73387709,0,0
Month & Year to Date Performance Summary,Data,Stocks,BX,BLACKSTONE INC,0,14450.578955,0,-15030.345459,0,0
Month & Year to Date Performance Summary,Data,Stocks,CAT,CATERPILLAR INC,0,33993.22170874,0,33993.22171074,0,0
Month & Year to Date Performance Summary,Data,Stocks,CCJ,CAMECO CORP,0,5510.66330527,0,-1235.44829273,0,0
Month & Year to Date Performance Summary,Data,Stocks,CRM,SALESFORCE INC,0,-9013.18283445,0,-34215.73340645,0,0
Month & Year to Date Performance Summary,Data,Stocks,CTAS,CINTAS CORP,0,122986.28246187,0,-15357.09592913,0,0
Month & Year to Date Performance Summary,Data,Stocks,CWB,SPDR BLOOMBERG CONVERTIBLE S,0,71988.9241834,0,0,0,331837.5807144
Month & Year to Date Performance Summary,Data,Stocks,D05,DBS GROUP HOLDINGS LTD,0,-6748.23067944,0,212759.18695489,0,0
Month & Year to Date Performance Summary,Data,Stocks,DBA,INVESCO DB AGRICULTURE FUND,0,33298.20097772,0,100732.77821372,0,0
Month & Year to Date Performance Summary,Data,Stocks,DIA,SPDR DJIA TRUST,0,31037.302892,0,5267.191001,0,0
Month & Year to Date Performance Summary,Data,Stocks,DXJ,WISDOMTREE JAPAN HEDGED EQ,0,0.02,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,EPI,WISDOMTREE INDIA EARNINGS,0,-113232.88696573,0,-325635.4656318,0,0
Month & Year to Date Performance Summary,Data,Stocks,FPE,FT-PREFERRED SECUR & INC ETF,0,3999.00616328,0,-47226.02433972,0,0
Month & Year to Date Performance Summary,Data,Stocks,GLD,SPDR GOLD SHARES,0,824041.969024,0,1977107.566756,0,0
Month & Year to Date Performance Summary,Data,Stocks,GOOG,ALPHABET INC-CL C,0,18126.38532094,0,35703.08670644,0,0
Month & Year to Date Performance Summary,Data,Stocks,GS,GOLDMAN SACHS GROUP INC,0,116388.41602177,0,90145.04592977,0,0
Month & Year to Date Performance Summary,Data,Stocks,HES,HESS CORP,0,78063.99161625,0,-83032.27274375,0,0
Month & Year to Date Performance Summary,Data,Stocks,HYD,VANECK HIGH YIELD MUNI ETF,0,-2.56,0,0,0,0
Month & Year to Date Performance Summary,Data,Stocks,IAUM,ISHARES GOLD TRUST MICRO,0,72817.6510125,0,212416.0024375,0,0
Month & Year to Date Performance Summary,Data,Stocks,IBIT,ISHARES BITCOIN TRUST ETF,0,241794.78368077,0,936634.22103279,0,0
Month & Year to Date Performance Summary,Data,Stocks,ICE,INTERCONTINENTAL EXCHANGE IN,0,5371.13499356,0,-3541.07957844,0,0
Month & Year to Date Performance Summary,Data,Stocks,IGV,ISHARES EXPANDED TECH-SOFTWA,0,-1234.56512508,0,-59897.75848108,0,0
Month & Year to Date Performance Summary,Data,Stocks,IJH,ISHARES CORE S&P MID-CAP ETF,0,161334.80753181,0,138171.46522236,0,0
Month & Year to Date Performance Summary,Data,Stocks,ISTB,ISHARES CORE 1-5 YEAR USD BO,0,-1327.1649855,0,356.7342365,0,0
