ClientAccountID,CurrencyPrimary,AssetClass,SubCategory,Symbol
U8251256,USD,STK,COMMON,ACGL
U8251256,USD,STK,COMMON,BKNG
U8251256,USD,STK,COMMON,CHD
U8251256,USD,STK,COMMON,DHI
U8251256,USD,STK,ETF,EWW
U8251256,USD,STK,COMMON,FDX
U8251256,USD,STK,ETF,FPE
U8251256,USD,STK,COMMON,GE
U8251256,USD,STK,COMMON,HCA
U8251256,USD,STK,ETF,HYD
U8251256,USD,STK,ETF,HYG
U8251256,USD,STK,ETF,IAU
U8251256,USD,STK,ETF,IGIB
U8251256,USD,STK,ETF,IGSB
U8251256,USD,STK,ETF,KSA
U8251256,USD,STK,COMMON,LEN
U8251256,USD,STK,COMMON,NVR
U8251256,USD,STK,COMMON,PANW
U8251256,USD,STK,COMMON,PH
U8251256,USD,STK,COMMON,PWR
U8251256,USD,STK,ETF,QQQ
U8251256,USD,STK,COMMON,SGEN
U8251256,USD,STK,ETF,STIP
U8251256,USD,STK,COMMON,TDG
U8251256,USD,STK,COMMON,WST
U8251256,USD,FUT,,CCU3
U8251256,USD,FUT,,GFQ3
U8251256,USD,FUT,,HGU3
U8251256,USD,FUT,,LEV3
U8251256,USD,FUT,,SBV3
U8251256,USD,FUT,,SIU3
U8251256,USD,FUT,,TN   SEP 23
U8251256,USD,FUT,,ZF   SEP 23
U8251256,USD,FUT,,DCQ3
U8251256,USD,FUT,,KCU3
U8251256,USD,FUT,,PAU3
U8251256,USD,FUT,,ZC   DEC 23
