ClientAccountID,CurrencyPrimary,AssetClass,SubCategory,Symbol
U8251256,EUR,STK,COMMON,BNP
U8251256,HKD,STK,COMMON,1109
U8251256,HKD,STK,COMMON,1288
U8251256,HKD,STK,COMMON,2318
U8251256,HKD,STK,ETF,2828
U8251256,HKD,STK,COMMON,2899
U8251256,HKD,STK,COMMON,688
U8251256,HKD,STK,COMMON,700
U8251256,HKD,STK,COMMON,857
U8251256,HKD,STK,COMMON,883
U8251256,HKD,STK,COMMON,9988
U8251256,JPY,STK,COMMON,6501.T
U8251256,SGD,STK,COMMON,Z74
U8251256,USD,STK,ETF,COWZ
U8251256,USD,STK,COMMON,CTAS
U8251256,USD,STK,ETF,CWB
U8251256,USD,STK,ETF,DBA
U8251256,USD,STK,ETF,DXJ
U8251256,USD,STK,ETF,EPI
U8251256,USD,STK,ETF,EWI
U8251256,USD,STK,ETF,FPE
U8251256,USD,STK,ETF,GLD
U8251256,USD,STK,COMMON,HES
U8251256,USD,STK,ETF,IAUM
U8251256,USD,STK,ETF,IBIT
U8251256,USD,STK,ETF,ISTB
U8251256,USD,STK,ETF,IWM
U8251256,USD,STK,ETF,LQD
U8251256,USD,STK,COMMON,MCD
U8251256,USD,STK,COMMON,NVDA
U8251256,USD,STK,ETF,QQQ
U8251256,USD,STK,ETF,RSP
U8251256,USD,STK,ETF,SMH
U8251256,USD,STK,ETF,TLT
U8251256,USD,STK,ADR,TSM
U8251256,USD,STK,ETF,TUR
U8251256,USD,STK,ETF,USHY
U8251256,USD,STK,ETF,VCIT
U8251256,USD,STK,ETF,XHB
U8251256,USD,STK,ETF,XLE
U8251256,USD,STK,ETF,XLF
U8251256,USD,STK,ETF,XLK
U8251256,USD,STK,ETF,XLV
U8251256,USD,STK,ETF,XME
U8251256,USD,OPT,C,TSM 30AUG24 195 C
U8251256,USD,FUT,,6JU4
U8251256,USD,FUT,,NQU4
U8251256,HKD,OPT,C,1109 30JUL24 28 C
U8251256,HKD,OPT,C,1109 30JUL24 29 C
U8251256,HKD,OPT,C,1109 30JUL24 30 C
U8251256,HKD,OPT,C,1109 30JUL24 31 C
U8251256,HKD,OPT,C,1288 30JUL24 3.6 C
U8251256,HKD,OPT,C,2318 30JUL24 38 C
U8251256,HKD,OPT,C,2318 30JUL24 39 C
U8251256,HKD,OPT,C,2318 30JUL24 40 C
U8251256,HKD,OPT,C,2899 30JUL24 15.5 C
U8251256,HKD,OPT,C,2899 30JUL24 16 C
U8251256,HKD,OPT,C,2899 30JUL24 17.5 C
U8251256,HKD,OPT,P,2899 30JUL24 17.5 P
U8251256,HKD,OPT,C,2899 30JUL24 18 C
U8251256,HKD,OPT,C,2899 30JUL24 18.5 C
U8251256,HKD,OPT,C,688 30JUL24 14 C
U8251256,HKD,OPT,C,688 30JUL24 14.5 C
U8251256,HKD,OPT,C,688 30JUL24 16 C
U8251256,HKD,OPT,P,700 30JUL24 360 P
U8251256,HKD,OPT,P,700 30JUL24 370 P
U8251256,HKD,OPT,C,700 30JUL24 400 C
U8251256,HKD,OPT,C,700 30JUL24 410 C
U8251256,HKD,OPT,C,700 30JUL24 420 C
U8251256,HKD,OPT,P,883 30JUL24 21 P
U8251256,HKD,OPT,C,883 30JUL24 22 C
U8251256,HKD,OPT,P,883 30JUL24 22 P
U8251256,HKD,OPT,C,883 30JUL24 24 C
U8251256,HKD,OPT,P,941 30JUL24 75 P
U8251256,HKD,OPT,P,941 30JUL24 77.5 P
U8251256,HKD,OPT,C,9988 30JUL24 80 C
U8251256,USD,OPT,C,GLD 24JUL24 225 C
U8251256,USD,OPT,P,GLD 24JUL24 225 P
U8251256,USD,OPT,C,GLD 24JUL24 226 C
U8251256,USD,OPT,C,GLD 24JUL24 227 C
U8251256,USD,OPT,C,GLD 24JUL24 228 C
U8251256,USD,OPT,C,GLD 24JUL24 229 C
U8251256,USD,OPT,C,GLD 26JUL24 225 C
U8251256,USD,OPT,P,IWM 24JUL24 210 P
U8251256,USD,OPT,P,IWM 24JUL24 220 P
U8251256,USD,OPT,C,MCD 26JUL24 260 C
U8251256,USD,OPT,C,NVDA 26JUL24 120 C
U8251256,USD,OPT,C,NVDA 26JUL24 122 C
U8251256,USD,OPT,C,NVDA 26JUL24 126 C
U8251256,USD,OPT,P,QQQ 26JUL24 460 P
U8251256,USD,OPT,P,TSM 26JUL24 155 P
U8251256,USD,OPT,C,TSM 26JUL24 170 C
U8251256,USD,OPT,P,TSM 02AUG24 152.5 P
U8251256,USD,OPT,P,TSM 09AUG24 150 P
U8251256,USD,OPT,P,TSM 30AUG24 150 P
